Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-07-17,29.639999389648438,29.860000610351562,29.200000762939453,23.88605308532715,33771.3,23.708877563476562,23.668607711791992,23.056560516357422,23.596126556396484,23.950469970703125,24.6108455657959,24.175968170166016,24.079322814941406,25.154478073120117,0.007472961188323968,0.009187079197177317,0.03597642277915836,0.012287039071337436,-0.00268958753021431,-0.029450125089406365,-0.011991870720471587,-0.008026377282268626,-0.050425414675902114,48.10521222427196,24.143477574063713,23.023012599276132,6.068441831485948,-0.10558244247422977,24.016510264078775,24.21623239517212,23.980871238708495,24.04470892391861,24.04470892391861,24.13690775014885,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.522260665893555,0.02663510703479166,0
2012-07-18,29.600000381469727,30.450000762939453,29.459999084472656,24.522260665893555,41090.4,23.88605308532715,23.708877563476562,23.668607711791992,23.056560516357422,23.596126556396484,24.77190399169922,24.031005859375,23.934364318847656,24.914453506469727,0.02663510703479166,0.0343071113442337,0.036066885069723,0.06356976568540196,0.039249412706934717,-0.010077680177079551,0.02044254033282189,0.024562856118261145,-0.01574157909882823,55.56848098837365,24.707562957583104,22.829380859555567,6.103835106209259,-0.04964850508141083,24.068588511149088,24.206165885925294,23.980868225097655,24.075518713723444,24.075518713723444,24.152019629197664,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.699426651000977,0.007224700345585644,0
2012-07-19,30.510000228881836,30.799999237060547,30.3799991607666,24.699426651000977,46663.2,24.522260665893555,23.88605308532715,23.708877563476562,23.668607711791992,23.056560516357422,24.723590850830078,24.723590850830078,23.571971893310547,24.81044578552246,0.007224700345585644,0.03405223804737645,0.04177967028900387,0.043552157852336126,0.07125373853910366,-0.000977374200005876,-0.000977374200005876,0.047830311473024745,-0.004474693259492568,57.40554623668343,24.956078114024592,23.2380121569715,6.116256782277668,0.00887307436690321,24.104022979736328,24.195696544647216,23.986808738708497,24.11577083870909,24.11577083870909,24.173486571229166,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24.256498336791992,-0.01793273667715012,0
2012-07-20,31.0,31.049999237060547,30.049999237060547,24.256498336791992,64021.7,24.699426651000977,24.522260665893555,23.88605308532715,23.708877563476562,23.668607711791992,24.312870025634766,24.9088134765625,23.958524703979492,25.938552856445312,-0.01793273667715012,-0.01083759498043324,0.015508851552054947,0.023097709786102927,0.024838411796698434,-0.0023185945872838953,-0.026188125756543612,0.012437060983266912,-0.064847662433695,51.65530417173312,24.960366214993048,23.468880306003047,6.132993625404947,0.019288884204417656,24.127914492289225,24.19489107131958,23.97973026275635,24.124850032133793,24.124850032133793,24.17674193458457,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23.580013275146484,-0.02788881776144181,0
2012-07-23,29.56999969482422,29.579999923706055,29.010000228881836,23.580013275146484,55151.9,24.256498336791992,24.699426651000977,24.522260665893555,23.88605308532715,23.708877563476562,24.159860610961914,24.272607803344727,23.96657943725586,25.698535919189453,-0.02788881776144181,-0.045321431613438934,-0.038424165030493396,-0.01281248974401128,-0.005435275794270167,-0.02400044210322716,-0.028533997410150724,-0.016129383966593913,-0.08243748401483986,44.34859834603323,25.008018573705314,23.36968223195875,6.075172765512741,-0.026735017669015093,24.11798184712728,24.1377121925354,23.95944206237793,24.089699273618482,24.089699273618482,24.153340810685037,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.47533416748047,-0.004439315043827774,0
2012-07-24,29.239999771118164,29.360000610351562,28.899999618530273,23.47533416748047,47723.3,23.580013275146484,24.256498336791992,24.699426651000977,24.522260665893555,23.88605308532715,23.950469970703125,24.723590850830078,23.443115234375,25.53851318359375,-0.004439315043827774,-0.03220432555702657,-0.04955955054409733,-0.042692903100454704,-0.017194926109369568,-0.01983826638073727,-0.0504884865180375,0.0013743452089602926,-0.08078696677763886,43.3272949881633,25.095636065458542,23.117777173066848,6.054088091919337,-0.0708394278090907,24.12469310760498,24.10872049331665,23.93033962249756,24.050062815157965,24.050062815157965,24.126752314873094,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.217632293701172,-0.010977559336994736,0
2012-07-25,29.239999771118164,29.329999923706055,28.780000686645508,23.217632293701172,45579.5,23.47533416748047,23.580013275146484,24.256498336791992,24.699426651000977,24.522260665893555,23.596126556396484,24.05516815185547,23.410903930664062,25.76253318786621,-0.010977559336994736,-0.015368141536513225,-0.04282835999931123,-0.05999306697427942,-0.05320179856039564,-0.016040525201909017,-0.03481729384999932,-0.008255624709549991,-0.09878302244608661,40.834187365742466,24.94116535761689,22.75039653203155,6.039843639369784,-0.12514429260425786,24.112345059712727,24.06080369949341,23.90376392364502,23.996357620225268,23.996357620225268,24.09110054933694,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.483383178710938,0.011446080360307143,0
2012-07-26,29.229999542236328,29.5,29.09000015258789,23.483383178710938,45301.4,23.217632293701172,23.47533416748047,23.580013275146484,24.256498336791992,24.699426651000977,23.056560516357422,24.175968170166016,23.402847290039062,25.690532684326172,0.011446080360307143,0.0003428709969810484,-0.004097966159221644,-0.031872496489256275,-0.04923367207962126,0.018511983261801257,-0.028647663108266053,0.003441285911657044,-0.08591295216551964,44.38796357448865,24.299251556013694,22.90589294471873,6.057166787007573,-0.1450651925130373,24.113150278727215,24.02013454437256,23.886852111816406,23.96326249496628,23.96326249496628,24.0672684955869,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.96657943725586,0.020576092246493927,0
2012-07-27,29.479999542236328,29.850000381469727,29.18000030517578,23.96657943725586,44242.6,23.483383178710938,23.217632293701172,23.47533416748047,23.580013275146484,24.256498336791992,23.668607711791992,24.29676628112793,23.805513381958008,25.586517333984375,0.020576092246493927,0.03225768821215569,0.020926018188737627,0.01639380595755724,-0.0119522156706513,0.01258932207133645,-0.013589744415022698,0.006765913959239533,-0.06331216849808985,50.24031492563211,24.030200563047025,23.05897637787094,6.07927038813266,-0.12047400010735387,24.124424997965495,24.01409454345703,23.884597244262697,23.96347649124303,23.96347649124303,24.063319905064116,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,23.86994171142578,-0.004032186824284856,0
2012-07-30,29.75,29.81999969482422,29.459999084472656,23.86994171142578,28905.0,23.96657943725586,23.483383178710938,23.217632293701172,23.47533416748047,23.580013275146484,23.708877563476562,24.087379455566406,23.628337860107422,25.61852264404297,-0.004032186824284856,0.016460938774157663,0.0280954323624798,0.0168094537496275,0.012295516244890559,0.006793410928796373,-0.009027040261549768,0.010225173380742358,-0.06825455772422462,49.12682043771122,24.15579165242899,23.049356663000697,6.063138235949496,-0.10754346566647044,24.114224116007488,23.975841808319093,23.883308792114256,23.957441989319335,23.957441989319335,24.055736446490062,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.733036041259766,-0.005735484058617679,0
